p,firm_noh,worker_noh,firm_h,worker_h
0.5,1.870975,1.60601,1.64776981331,1.7682000000000004
0.55,1.9762449999999998,1.6303199999999998,1.7539798199600005,1.7779100000000005
0.6,2.0719249999999994,1.6600999999999997,1.86777482611,1.7868800000000007
0.65,2.172965,1.68749,1.9729348337400001,1.8000300000000007
0.7,2.26649,1.7192199999999997,2.0907048435,1.8132900000000007
0.75,2.38163,1.7481000000000002,2.20841985621,1.8292300000000006
0.8,2.4765099999999998,1.7799300000000002,2.32382486721,1.8464800000000006
0.85,2.5744300000000004,1.8122700000000007,2.4457798842900007,1.8629700000000002
0.9,2.6693449999999994,1.8411,2.5687549019899993,1.8834899999999997
0.95,2.7579949999999998,1.87109,2.6914099228500015,1.9056199999999994
